Customer_ID,Recency,Frequency,Monetary,AvgQuantity,UniqueItems,Cluster
12347.0,2,6,3834.61,14.006535947712418,96,0
12348.0,75,2,677.0,60.75,5,0
12349.0,19,1,1757.55,8.643835616438356,73,0
12352.0,36,8,2506.04,6.305882352941176,59,0
12353.0,204,1,89.0,5.0,4,0
12354.0,232,1,1079.4,9.137931034482758,58,0
12355.0,214,1,459.4,18.46153846153846,13,0
12356.0,23,2,539.81,16.304347826086957,21,0
12357.0,33,1,6207.67,20.671755725190838,131,0
12358.0,2,2,1168.06,13.052631578947368,13,0
12359.0,58,2,3986.17,6.6644736842105265,135,0
12360.0,52,3,2662.06,9.031007751937985,105,0
12361.0,287,1,189.9,9.1,10,0
12362.0,3,10,5226.23,8.3796992481203,201,0
12363.0,110,2,552.0,17.73913043478261,23,0
12364.0,8,4,1313.1,17.71764705882353,70,0
12365.0,291,2,641.38,7.909090909090909,22,0
12367.0,4,1,168.9,15.727272727272727,11,0
12370.0,51,3,3268.49,14.477987421383649,135,0
12371.0,45,2,1887.96,9.380952380952381,63,0
12372.0,72,3,1298.04,15.26923076923077,34,0
12374.0,25,1,742.9300000000001,10.363636363636363,33,0
12375.0,11,2,457.5,10.470588235294118,14,0
12378.0,130,1,4008.62,11.547945205479452,219,0
12379.0,82,2,852.24,10.175,39,0
12380.0,22,4,2724.81,10.836538461538462,77,0
12381.0,5,5,1845.31,9.28735632183908,70,0
12383.0,185,3,598.68,6.064516129032258,24,0
12384.0,29,2,585.27,4.666666666666667,26,0
12386.0,367,1,258.9,26.75,8,0
12388.0,16,4,2225.31,16.28,50,0
12390.0,80,1,549.84,11.03125,32,0
12391.0,22,1,460.89,3.0,92,0
12393.0,72,2,943.1,12.333333333333334,36,0
12394.0,64,2,1272.48,30.333333333333332,26,0
12395.0,19,10,2453.3,13.260162601626016,73,0
12397.0,36,2,2409.9,10.023809523809524,110,0
12398.0,46,1,1635.6599999999999,16.4,85,0
12399.0,119,4,1108.65,19.966101694915253,47,0
12403.0,50,1,427.7,19.2,5,0
12405.0,149,1,1710.39,15.87037037037037,54,0
12406.0,22,2,3415.3,17.314285714285713,92,0
12407.0,50,5,1708.1200000000001,18.38961038961039,57,0
12408.0,33,5,2888.55,13.41904761904762,81,0
12409.0,79,3,11072.67,50.92660550458716,91,0
12412.0,75,3,1226.88,13.59016393442623,43,0
12413.0,67,2,278.85,7.571428571428571,13,0
12414.0,217,2,408.65000000000003,14.090909090909092,10,0
12415.0,24,19,117821.55,108.8695652173913,418,1
12417.0,3,7,3034.32,8.387878787878789,140,0
12418.0,113,1,668.58,11.970588235294118,34,0
12420.0,64,1,600.39,11.89655172413793,29,0
12421.0,16,3,649.59,11.176470588235293,26,0
12422.0,96,2,565.0600000000001,9.884615384615385,26,0
12423.0,1,7,1621.38,10.559633027522937,85,0
12424.0,163,2,1760.96,24.666666666666668,30,0
12425.0,78,1,777.2,13.777777777777779,36,0
12426.0,195,1,582.73,8.6,30,0
12427.0,22,3,825.8,17.193548387096776,26,0
12428.0,26,9,7956.46,12.02721088435374,258,0
12429.0,9,4,3750.4,16.051546391752577,82,0
12430.0,43,1,256.4,10.636363636363637,11,0
12431.0,36,13,5687.07,12.926829268292684,152,0
12432.0,43,5,5059.32,16.675925925925927,107,0
12433.0,1,7,13375.87,26.35952380952381,219,0
12434.0,85,2,806.14,7.88,46,0
12435.0,80,2,7829.89,57.083333333333336,31,0
12436.0,100,1,509.01,13.1875,16,0
12437.0,2,16,4408.21,14.18131868131868,115,0
12438.0,14,2,2906.85,12.040816326530612,84,0
12441.0,367,1,173.55,11.0,11,0
12442.0,3,1,172.06,15.166666666666666,12,0
12444.0,21,5,5005.46,6.551136363636363,138,0
12445.0,22,1,133.4,15.5,4,0
12446.0,58,1,1002.3100000000001,6.157894736842105,57,0
12447.0,243,1,476.49,7.3076923076923075,26,0
12448.0,44,1,449.45,11.045454545454545,22,0
12449.0,22,4,4067.29,8.13089005235602,118,0
12450.0,156,2,197.88,16.0,7,0
12451.0,11,4,6116.01,16.76284584980237,214,0
12452.0,17,2,430.57,8.409090909090908,21,0
12453.0,134,1,707.09,11.0,43,0
12454.0,56,1,3528.34,67.06666666666666,15,0
12455.0,73,6,2466.86,23.211111111111112,85,0
12456.0,44,3,3181.04,13.064,105,0
12457.0,66,7,2363.23,13.596774193548388,53,0
12458.0,71,2,947.4,13.31578947368421,35,0
12461.0,94,2,826.88,8.2,35,0
12462.0,19,1,427.48,11.318181818181818,22,0
12463.0,53,4,1344.78,9.349397590361447,65,0
12464.0,10,7,998.15,3.9565217391304346,6,0
12465.0,17,2,742.1899999999999,10.191489361702128,46,0
12468.0,188,1,508.95000000000005,9.192307692307692,26,0
12471.0,2,26,16609.25,18.293398533007334,144,0
12472.0,32,6,5746.75,12.333333333333334,204,0
12473.0,29,5,3938.5499999999997,14.517857142857142,140,0
12474.0,17,15,6775.99,11.717223650385604,242,0
12475.0,54,1,723.38,14.86111111111111,36,0
12476.0,16,10,6266.84,10.74056603773585,172,0
12477.0,23,6,13219.74,12.176666666666666,191,0
12478.0,4,1,680.99,6.555555555555555,36,0
12479.0,11,1,527.2,12.419354838709678,31,0
12480.0,28,3,2465.38,11.964285714285714,100,0
12481.0,23,8,4361.2699999999995,14.679558011049723,131,0
12483.0,17,7,1937.42,13.17741935483871,38,0
12484.0,33,5,3403.05,6.294354838709677,196,0
12488.0,10,3,1298.66,9.618181818181819,46,0
12490.0,5,9,4553.71,12.455445544554456,115,0
12491.0,39,1,460.40000000000003,10.0,25,0
12492.0,63,2,263.21000000000004,9.6,19,0
12493.0,166,2,433.74,9.409090909090908,20,0
12494.0,16,6,1241.15,9.263157894736842,62,0
12497.0,82,1,1043.1,88.28571428571429,14,0
12498.0,21,3,403.70000000000005,6.913043478260869,21,0
12500.0,23,10,3912.88,43.482142857142854,34,0
12502.0,96,4,3106.62,5.594827586206897,85,0
12504.0,18,2,482.04999999999995,10.0,6,0
12506.0,233,1,73.5,1.0,23,0
12507.0,134,3,1304.81,42.57142857142857,19,0
12508.0,26,2,398.27,3.9420289855072466,57,0
12509.0,284,1,176.5,7.857142857142857,7,0
12510.0,143,1,301.52,14.75,4,0
12512.0,66,2,138.03,2.911764705882353,31,0
12513.0,113,1,612.29,13.2,35,0
12514.0,267,1,1017.68,8.627450980392156,51,0
12516.0,78,2,1312.06,33.65384615384615,20,0
12517.0,28,5,2502.84,4.827464788732394,232,0
12518.0,1,5,2056.89,10.629032258064516,84,0
12519.0,64,1,340.84,10.166666666666666,17,0
12520.0,79,5,2634.26,9.467105263157896,121,0
12521.0,143,1,599.68,8.131578947368421,38,0
12522.0,39,2,192.72,16.166666666666668,11,0
12523.0,19,10,1686.82,8.303030303030303,79,0
12524.0,9,7,4148.33,25.8359375,104,0
12526.0,1,3,1316.66,8.901408450704226,64,0
12527.0,82,2,216.19000000000003,15.125,8,0
12528.0,9,5,1439.95,7.786885245901639,36,0
12530.0,60,3,1274.88,15.433962264150944,42,0
12531.0,15,1,125.22,2.6470588235294117,17,0
12532.0,30,1,349.83000000000004,9.5625,16,0
12534.0,131,1,1089.18,10.333333333333334,63,0
12535.0,92,2,716.35,6.4411764705882355,28,0
12536.0,43,3,12601.830000000002,10.739463601532567,260,0
12538.0,29,1,363.95,9.095238095238095,21,0
12539.0,22,2,2136.65,8.977011494252874,80,0
12540.0,20,15,11964.08,13.832183908045977,266,0
12541.0,30,3,981.18,13.076923076923077,46,0
12544.0,36,1,372.7,7.157894736842105,19,0
12545.0,75,2,1000.39,10.46,42,0
12546.0,47,2,1161.5,9.173913043478262,59,0
12547.0,198,2,207.79999999999998,16.75,7,0
12548.0,166,1,95.19999999999999,9.8,5,0
12550.0,79,1,964.83,9.982456140350877,57,0
12552.0,39,2,437.82,4.4,20,0
12553.0,8,9,2991.97,9.928104575163399,80,0
12556.0,50,2,603.71,2.958677685950413,100,0
12557.0,16,4,8573.84,116.41379310344827,15,0
12558.0,8,1,269.96,17.818181818181817,11,0
12560.0,5,3,2134.01,10.571428571428571,91,0
12562.0,8,7,3781.7400000000002,10.589285714285714,99,0
